Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
GRAPHITE,EQ,25-Jan-19,623.4,629.6,639,545.1,556,552.95,580.68,6975188,4050354315,193263,1524535,21.86
GRAPHITE,EQ,28-Jan-19,552.95,530,538,475.85,501.1,499.8,510.7,5367183,2741013948,171024,885906,16.51
GRAPHITE,EQ,29-Jan-19,499.8,487.7,494.75,458.3,467,467.45,474.82,4452793,2114270731,128190,615056,13.81
GRAPHITE,EQ,30-Jan-19,467.45,490,514.15,482.55,514.15,514.15,503.66,3615224,1820831627,90039,704226,19.48
GRAPHITE,EQ,31-Jan-19,514.15,533.05,565.55,533.05,565.55,565.55,556.74,1957029,1089556821,37597,550101,28.11
GRAPHITE,EQ,1-Feb-19,565.55,614.95,622.1,545.3,553.9,556.85,582.66,7610159,4434112962,185982,1724077,22.65
GRAPHITE,EQ,4-Feb-19,556.85,546,546,511.1,523,523.75,523.32,1487939,778669014.5,52442,310571,20.87
GRAPHITE,EQ,5-Feb-19,523.75,523,539.9,509.1,517,518.1,524.91,1414918,742700063,49042,304261,21.5
GRAPHITE,EQ,6-Feb-19,518.1,522.6,551.95,501.75,512.9,514.4,527.92,4200669,2217600473,113369,607218,14.46
GRAPHITE,EQ,7-Feb-19,514.4,511.9,525,502.25,510.1,511.05,515.53,1483263,764665325.5,37308,378646,25.53
GRAPHITE,EQ,8-Feb-19,511.05,512,520,481.2,483.1,483.35,495.33,1424512,705598692.9,46823,497627,34.93
GRAPHITE,EQ,11-Feb-19,483.35,482,483.3,435.05,435.05,435.05,445.22,1903107,847308229.6,61966,852924,44.82
GRAPHITE,EQ,12-Feb-19,435.05,417,432.7,395.1,414,421.95,415.78,7560144,3143358663,177355,1764857,23.34
GRAPHITE,EQ,13-Feb-19,421.95,413,432,405.1,420.1,419.45,420.87,3757828,1581558752,95428,1018643,27.11
GRAPHITE,EQ,14-Feb-19,419.45,419.45,451.95,414.95,445.5,445.5,435.88,2379747,1037290102,62042,746264,31.36
GRAPHITE,EQ,15-Feb-19,445.5,444.85,446.9,427.5,428.5,429.85,435.22,1084006,471780595.9,28102,307648,28.38
GRAPHITE,EQ,18-Feb-19,429.85,429.5,434.85,410,411,411.9,417.21,979329,408584117,25411,397448,40.58
GRAPHITE,EQ,19-Feb-19,411.9,411,422,397.4,403.7,402.85,406.68,1627643,661928286.6,49521,396808,24.38
GRAPHITE,EQ,20-Feb-19,402.85,405.1,417.8,405.1,410,411.4,412.23,1467170,604806791.2,40195,381568,26.01
